"","Date","Open","Close","Gibanje"
"1214",2011-09-07,11137.63,11414.86,1
"1215",2011-09-06,11237.31,11139.3,0
"1216",2011-09-02,11492.06,11240.26,0
"1217",2011-09-01,11613.3,11493.57,0
"1218",2011-08-31,11560.48,11613.53,1
"1219",2011-08-30,11532.13,11559.95,1
"1220",2011-08-29,11286.65,11539.25,1
"1221",2011-08-26,11145.2,11284.54,1
"1222",2011-08-25,11321.02,11149.82,0
"1223",2011-08-24,11175.78,11320.71,1
"1224",2011-08-23,10854.58,11176.76,1
"1225",2011-08-22,10820.37,10854.65,1
"1226",2011-08-19,10989.75,10817.65,0
"1227",2011-08-18,11406.27,10990.58,0
"1228",2011-08-17,11392.01,11410.21,1
"1229",2011-08-16,11480.48,11405.93,0
"1230",2011-08-15,11269.85,11482.9,1
"1231",2011-08-12,11143.46,11269.02,1
"1232",2011-08-11,10729.85,11143.31,1
"1233",2011-08-10,11228,10719.94,0
"1234",2011-08-09,10810.91,11239.77,1
"1235",2011-08-08,11433.93,10809.85,0
"1236",2011-08-05,11383.98,11444.61,1
"1237",2011-08-04,11893.86,11383.68,0
"1238",2011-08-03,11863.74,11896.44,1
"1239",2011-08-02,12129.77,11866.62,0
"1240",2011-08-01,12144.22,12132.49,0
"1241",2011-07-29,12239.36,12143.24,0
"1242",2011-07-28,12301.72,12240.11,0
"1243",2011-07-27,12498.42,12302.55,0
"1244",2011-07-26,12592.12,12501.3,0
"1245",2011-07-25,12679.72,12592.8,0
"1246",2011-07-22,12724.71,12681.16,0
"1247",2011-07-21,12567.07,12724.41,1
"1248",2011-07-20,12583.68,12571.91,0
"1249",2011-07-19,12386.03,12587.42,1
"1250",2011-07-18,12475.11,12385.16,0
"1251",2011-07-15,12437.12,12479.73,1
"1252",2011-07-14,12491.53,12437.12,0
"1253",2011-07-13,12447.33,12491.61,1
"1254",2011-07-12,12505.54,12446.88,0
"1255",2011-07-11,12655.62,12505.76,0
"1256",2011-07-08,12717.9,12657.2,0
"1257",2011-07-07,12627.23,12719.49,1
"1258",2011-07-06,12562.47,12626.02,1
"1259",2011-07-05,12583,12569.87,0
"1260",2011-07-01,12412.07,12582.77,1
"1261",2011-06-30,12262.25,12414.34,1
"1262",2011-06-29,12187.63,12261.42,1
"1263",2011-06-28,12042.28,12188.69,1
"1264",2011-06-27,11934.66,12043.56,1
"1265",2011-06-24,12049.24,11934.58,0
"1266",2011-06-23,12108.35,12050,0
"1267",2011-06-22,12189.71,12109.67,0
"1268",2011-06-21,12081.33,12190.01,1
"1269",2011-06-20,12004.28,12080.38,1
"1270",2011-06-17,11962.66,12004.36,1
"1271",2011-06-16,11896.13,11961.52,1
"1272",2011-06-15,12075.12,11897.27,0
"1273",2011-06-14,11951.38,12076.11,1
"1274",2011-06-13,11945.33,11952.97,1
"1275",2011-06-10,12124.17,11951.91,0
"1276",2011-06-09,12049.47,12124.36,1
"1277",2011-06-08,12066.27,12048.94,0
"1278",2011-06-07,12090.18,12070.81,0
"1279",2011-06-06,12151.19,12089.96,0
"1280",2011-06-03,12247.8,12151.26,0
"1281",2011-06-02,12289.61,12248.55,0
"1282",2011-06-01,12569.41,12290.14,0
"1283",2011-05-31,12443.4,12569.79,1
"1284",2011-05-27,12398.06,12441.58,1
"1285",2011-05-26,12391.63,12402.76,1
"1286",2011-05-25,12355.45,12394.66,1
"1287",2011-05-24,12381.57,12356.21,0
"1288",2011-05-23,12511.36,12381.26,0
"1289",2011-05-20,12604.72,12512.04,0
"1290",2011-05-19,12561.46,12605.32,1
"1291",2011-05-18,12471.78,12560.18,1
"1292",2011-05-17,12541.33,12479.58,0
"1293",2011-05-16,12594.77,12548.37,0
